date,subscribers,reviews
2021/1/1,10312,1735
2021/1/2,10331,1738
2021/1/3,10353,1741
2021/1/4,10379,1744
2021/1/5,10406,1746
2021/1/6,10443,1748
2021/1/7,10472,1748
2021/1/8,10511,1752
2021/1/9,10541,1755
2021/1/10,10545,1758
2021/1/11,10549,1758
2021/1/12,10555,1763
2021/1/13,10560,1768
2021/1/14,10561,1768
2021/1/15,10567,1770
2021/1/16,10582,1777
2021/1/17,10585,1777
2021/1/18,10590,1780
2021/1/19,10597,1784
2021/1/20,10610,1787
2021/1/21,10629,1790
2021/1/22,10649,1790
2021/1/23,10663,1791
2021/1/24,10667,1794
2021/1/25,10668,1796
2021/1/26,10671,1796
2021/1/27,10689,1800
2021/1/28,10692,1803
2021/1/29,10699,1805
2021/1/30,10699,1805
2021/1/31,10707,1809
2021/2/1,10712,1812
2021/2/2,10726,1813
2021/2/3,10734,1813
2021/2/4,10743,1815
2021/2/5,10753,1820
2021/2/6,10753,1824
2021/2/7,10756,1824
2021/2/8,10776,1826
2021/2/9,10796,1831
